"species","weight"
"EUTUMB",44
"EUTUMB",45.5
"EUTUMB",35.5
"PERMAN",18.7
"PERMAN",19
"PERMAN",30
"PERMAN",23
"PERMAN",28
"PERMAN",15
"PERMAN",23.5
"PERMAN",25
"PERMAN",18.5
"PERMAN",20.5
"PERMAN",17.5
"PERMAN",17
"PERMAN",17
"PERMAN",21.5
"PERMAN",14.5
"PERMAN",18.5
"PERMAN",17
"PERMAN",28
"OCHPRI",136
"OCHPRI",156
"OCHPRI",163
"OCHPRI",163
"OCHPRI",163
"OCHPRI",156
"OCHPRI",142
"OCHPRI",160
"ZAPPRI",25.5
"OCHPRI",142
"OCHPRI",143
"PERMAN",21.5
"PHENIN",25
"ZAPPRI",22.5
"ZAPPRI",24
"OCHPRI",174
"OCHPRI",144
"PERMAN",14
"PERMAN",22
"PERMAN",23
"PERMAN",15
"PERMAN",14.3
"OCHPRI",150
"OCHPRI",154
"OCHPRI",178
"OCHPRI",141
"OCHPRI",141
"OCHPRI",165
"PERMAN",15.5
"PERMAN",14
"PERMAN",14.5
"PERMAN",23.5
"ZAPPRI",28.4
"ZAPPRI",25.3
"ZAPPRI",22.5
"ZAPPRI",26.2
"PERMAN",18.5
"PERMAN",17
"ZAPPRI",18.6
"PERMAN",18
"PERMAN",15
"ZAPPRI",26.2
"ZAPPRI",23.6
"ZAPPRI",23.5
"ZAPPRI",25.4
"ZAPPRI",29.5
"CLEGAP",19
"CLEGAP",19
"MICLON",35.7
"OCHPRI",180
"PERMAN",20.3
"PERMAN",15.4
"PERMAN",27.5
"PERMAN",24.6
"PERMAN",23
"PERMAN",22.3
"PERMAN",18.6
"PERMAN",20.7
"PERMAN",26.5
"PERMAN",25
"PERMAN",17
"PERMAN",14.5
"PERMAN",15
"PERMAN",29
"PERMAN",21
"ZAPPRI",23.5
"ZAPPRI",24.1
"CLEGAP",20.5
"EUTMIN",45.5
"MICMON",23.5
"OCHPRI",158
"OCHPRI",165
"OCHPRI",182
"OCHPRI",145
"OCHPRI",58
"PERMAN",19
"PERMAN",24.2
"PERMAN",18.5
"PERMAN",15.3
"PERMAN",28
"PERMAN",26
"PERMAN",16
"PERMAN",23
"PERMAN",23
"PERMAN",13.5
"PERMAN",19
"PERMAN",19.5
"PERMAN",22.5
"PERMAN",26
"PERMAN",15
"PERMAN",22
"ZAPPRI",22.4
"ZAPPRI",26.5
"ZAPPRI",29
"ZAPPRI",24.5
"PERMAN",21
"MICLON",37.5
"MICLON",40.4
"PERMAN",17
"PERMAN",18
"PERMAN",17
"PERMAN",20.5
"PERMAN",16.5
"PERMAN",19.5
"PERMAN",26.5
"PERMAN",20.5
"PERMAN",20
"PERMAN",22.5
"PERMAN",17.5
"PERMAN",19.7
"PERMAN",19.5
"ZAPPRI",27.2
"ZAPPRI",24.5
"ZAPPRI",28.2
"OCHPRI",75
"OCHPRI",180
"OCHPRI",180
"OCHPRI",180
"OCHPRI",180
"OCHPRI",180
"OCHPRI",150
"OCHPRI",80
"OCHPRI",160
"OCHPRI",80
"OCHPRI",76
"OCHPRI",105
"OCHPRI",125
"OCHPRI",125
"OCHPRI",180
"OCHPRI",82
"PERMAN",20.5
"PERMAN",22.5
"PERMAN",26.5
"OCHPRI",88
"OCHPRI",80
"OCHPRI",79
"PERMAN",20.5
"PERMAN",23
"PERMAN",27.5
"PERMAN",21
"PERMAN",20
"PERMAN",22.5
"PERMAN",28
"PERMAN",19.5
"PERMAN",19.5
"PERMAN",18.5
"PERMAN",21
"PERMAN",21.5
"OCHPRI",130
"PERMAN",20.5
"OCHPRI",90
"OCHPRI",105
"OCHPRI",108
"OCHPRI",98
"PERMAN",19.5
"PERMAN",20.5
"PERMAN",17.3
"PERMAN",19
"OCHPRI",122
"PERMAN",16
"PERMAN",23
"PERMAN",22.3
"PERMAN",25.8
"PERMAN",20.3
"PERMAN",24.5
"PERMAN",23.5
"PERMAN",18.1
"PERMAN",18
"PERMAN",19.5
"PERMAN",23.5
"PERMAN",22.7
"PERMAN",23
"PERMAN",23
"PERMAN",23
"PERMAN",20.5
"PERMAN",24.2
"PERMAN",18.8
"PERMAN",23.5
"PERMAN",18.5
"PERMAN",15.3
"PERMAN",20
"PERMAN",21.2
"PERMAN",13.7
"PERMAN",15.5
"OCHPRI",182
"OCHPRI",182
"OCHPRI",98
"OCHPRI",142
"OCHPRI",112
"OCHPRI",115
"OCHPRI",125
"OCHPRI",126
"OCHPRI",100
"OCHPRI",92
"OCHPRI",130
"OCHPRI",115
"OCHPRI",200
"OCHPRI",120
"OCHPRI",115
"OCHPRI",102
"OCHPRI",125
"MICLON",20
"MICLON",28
"MICLON",35
"MICLON",30
"MICMON",28
"OCHPRI",165
"OCHPRI",152
"OCHPRI",160
"OCHPRI",115
"OCHPRI",80
"OCHPRI",138
"OCHPRI",120
"PERMAN",23.5
"PERMAN",21
"PERMAN",17.5
"PERMAN",15
"PERMAN",18.5
"MICLON",25.5
"MICLON",43
"MICLON",25
"MICLON",14.5
"MICLON",13
"MICLON",12.5
"PERMAN",19
"PERMAN",15
"PERMAN",16.5
"PERMAN",19.5
"PERMAN",19.5
"MICLON",20.5
"MICLON",15
"MICLON",24
"MICLON",9.5
"MICLON",11.5
"MICMON",17
"OCHPRI",140
"OCHPRI",70
"PERMAN",18.5
"PERMAN",20.5
"PERMAN",17
"PERMAN",17.5
"PERMAN",14.5
"PERMAN",18
"PERMAN",19
"MICLON",49
"MICLON",15.5
"PERMAN",19.5
"PERMAN",23.5
"PERMAN",17.5
"PERMAN",21
"PERMAN",22.5
"PERMAN",13.5
"MICMON",9.5
"MICMON",29
"OCHPRI",168
"PERMAN",19
"PERMAN",19.5
"PERMAN",15
"PERMAN",19.5
"PERMAN",19
"PERMAN",19.5
"PERMAN",23
"PHENIN",26.5
"MICLON",19
"MICMON",17
"PERMAN",18.5
"PERMAN",22.5
"PERMAN",19.5
"PERMAN",20.5
"PERMAN",16.5
"MICLON",27
"MICLON",19.5
"MICMON",17
"PERMAN",20.5
"PERMAN",15.5
"PERMAN",18
"PERMAN",19
"PERMAN",17.5
"PERMAN",21
"PERMAN",21.1
"PERMAN",17.8
"PERMAN",28.8
"PERMAN",21.8
"PERMAN",19
"PERMAN",14.5
"PERMAN",10.5
"PERMAN",23.5
"MICMON",19.5
"PERMAN",23.5
"PERMAN",11.6
"PERMAN",12.6
"PERMAN",18.1
"PERMAN",26
"PERMAN",20.6
"PERMAN",25.3
"PERMAN",11
"PERMAN",19.5
"PERMAN",18.5
"PERMAN",20
"PERMAN",11.1
"PERMAN",12.3
"PHENIN",16.5
"PERMAN",23.3
"PERMAN",18.3
"PERMAN",26.3
"PERMAN",22
"PERMAN",20.5
"PERMAN",19.5
"PERMAN",19.5
"PERMAN",15.5
"PERMAN",14.5
"CLEGAP",18.1
"CLEGAP",15.6
"CLEGAP",17.9
"CLEGAP",34.6
"PERMAN",21
"MICMON",25.5
"MICMON",21
"PERMAN",18
"PERMAN",15
"PERMAN",15.5
"MICMON",21
"PERMAN",18
"PERMAN",19.5
"PERMAN",13.5
"PERMAN",13.5
"PERMAN",20
"PERMAN",15
"PERMAN",15.5
"PERMAN",17.5
"PERMAN",13.5
"PERMAN",14.5
"PERMAN",23
"OCHPRI",122
"OCHPRI",158
"OCHPRI",133
"OCHPRI",148
"OCHPRI",143
"OCHPRI",158
"OCHPRI",150
"OCHPRI",165
"OCHPRI",143
"OCHPRI",162
"OCHPRI",156
"OCHPRI",172
"OCHPRI",170
"OCHPRI",110
"OCHPRI",140
"OCHPRI",162
"OCHPRI",134
"OCHPRI",158
"OCHPRI",165
"OCHPRI",125
"PERMAN",21.5
"PERMAN",14
"PERMAN",21
"PERMAN",24.5
"PERMAN",15
"MICLON",21.7
"PERMAN",28.6
"PERMAN",13.8
"PERMAN",24.6
"PERMAN",19.3
"PERMAN",13.8
"PERMAN",15.8
"PHENIN",13.1
"PERMAN",33.5
"PERMAN",15.7
"PERMAN",16.7
"PERMAN",17
"PERMAN",16.3
"PERMAN",26.5
"PERMAN",17.4
"PHENIN",14
"PERMAN",24
"PERMAN",16
"PERMAN",16.3
"PERMAN",18.3
"PERMAN",28
"PERMAN",19.8
"PERMAN",14.5
"PERMAN",15
"PERMAN",25.5
"PERMAN",15.7
"PERMAN",16
"PERMAN",25.8
"PERMAN",24.2
"PERMAN",14.9
"PERMAN",13.8
"PERMAN",18.6
"PERMAN",15.9
"PERMAN",12
"PERMAN",27.1
"PERMAN",17.4
"PERMAN",15.2
"PERMAN",15.5
"PERMAN",17
"PERMAN",14.8
"PERMAN",16.1
"PERMAN",17.5
"PERMAN",11.5
"CLEGAP",14
"PERMAN",29
"PERMAN",15.1
"PERMAN",15.1
"MICMON",22.5
"PERMAN",18
"PERMAN",26.8
"OCHPRI",160
"OCHPRI",160
"PERMAN",22
"PERMAN",28.5
"PERMAN",21.5
"PERMAN",18
"PERMAN",17.5
"PERMAN",31.5
"PERMAN",19.5
"PERMAN",18
"PERMAN",27.5
"PERMAN",21
"PHENIN",27
"PERMAN",16.5
"PERMAN",14.5
"MICLON",24.5
"MICLON",11
"MICLON",24.5
"OCHPRI",130
"OCHPRI",155
"OCHPRI",147
"OCHPRI",165
"OCHPRI",147
"OCHPRI",177
"OCHPRI",180
"OCHPRI",149
"OCHPRI",161
"PERMAN",21.5
"PERMAN",19
"PERMAN",21.5
"PERMAN",22
"PERMAN",22.5
"PERMAN",21.5
"PERMAN",22.5
"OCHPRI",210
"OCHPRI",154
"OCHPRI",152
"OCHPRI",155
"OCHPRI",170
"OCHPRI",210
"OCHPRI",134
"OCHPRI",158
"OCHPRI",170
"OCHPRI",160
"OCHPRI",160
"OCHPRI",155
"OCHPRI",212
"OCHPRI",150
"OCHPRI",158
"OCHPRI",160
"OCHPRI",160
"OCHPRI",164
"OCHPRI",168
"OCHPRI",168
"OCHPRI",168
"OCHPRI",158
"OCHPRI",153
"SPELAT",194.5
"CLEGAP",19
"OCHPRI",62
"OCHPRI",153
"OCHPRI",39
"PERMAN",16
"PERMAN",23
"PERMAN",24
"PERMAN",10
"PERMAN",21
"PERMAN",16
"PERMAN",24.5
"PERMAN",24.5
"PERMAN",7.3
"PERMAN",19.5
"SORVAG",4
"MICMON",33.5
"OCHPRI",34
"PERMAN",19.5
"PERMAN",20.5
"PERMAN",18
"PERMAN",26.5
"PERMAN",24.5
"PERMAN",27
"PERMAN",19
"PERMAN",20.5
"PERMAN",25
"PERMAN",22
"PERMAN",20
"PERMAN",16.5
"PERMAN",19.5
"PERMAN",15
"PERMAN",20
"OCHPRI",64
"OCHPRI",62
"OCHPRI",78
"OCHPRI",174
"OCHPRI",148
"OCHPRI",148
"OCHPRI",148
"OCHPRI",152
"OCHPRI",160
"OCHPRI",66
"OCHPRI",130
"OCHPRI",73
"OCHPRI",200
"OCHPRI",63
"OCHPRI",82
"OCHPRI",90
"OCHPRI",92
"OCHPRI",172
"OCHPRI",92
"OCHPRI",92
"OCHPRI",174
"OCHPRI",184
"OCHPRI",174
"OCHPRI",190
"OCHPRI",160
"OCHPRI",188
"OCHPRI",150
"OCHPRI",88
"OCHPRI",200
"OCHPRI",92
"OCHPRI",144
"OCHPRI",158
"PERMAN",15.5
"PERMAN",16.5
"PERMAN",16
"PERMAN",20.5
"PERMAN",18.5
"PERMAN",20
"PERMAN",21
"PERMAN",25
"PERMAN",12
"PERMAN",32
"PERMAN",26.5
"PERMAN",12.5
"PERMAN",17.5
"PERMAN",25
"PERMAN",26
"PERMAN",13
"PERMAN",15.1
"PERMAN",17.2
"PERMAN",16.3
"PERMAN",21.6
"PERMAN",24.1
"PERMAN",21
"PERMAN",18
"PERMAN",18
"PERMAN",18
"PERMAN",30.5
"PERMAN",25
"PERMAN",32
"PERMAN",10
"PERMAN",20.5
"PERMAN",22.5
"PERMAN",17
"PERMAN",33
"PERMAN",25
"PERMAN",23
"PERMAN",20.5
"PERMAN",20
"PERMAN",28.5
"PERMAN",31.5
"PERMAN",23
"PERMAN",12.5
"PERMAN",10
"PERMAN",22.1
"PERMAN",13.8
"PERMAN",17
"PERMAN",16.9
"OCHPRI",106
"OCHPRI",186
"OCHPRI",192
"OCHPRI",180
"OCHPRI",168
"OCHPRI",120
"OCHPRI",120
"OCHPRI",70
"OCHPRI",58
"OCHPRI",160
"OCHPRI",97
"OCHPRI",103
"OCHPRI",160
"OCHPRI",142
"OCHPRI",112
"OCHPRI",128
"OCHPRI",124
"OCHPRI",148
"OCHPRI",132
"OCHPRI",75
"OCHPRI",157
"OCHPRI",99
"OCHPRI",72
"OCHPRI",103
"OCHPRI",117
"OCHPRI",117
"OCHPRI",133
"OCHPRI",119
"OCHPRI",135
"OCHPRI",118
"OCHPRI",120
"OCHPRI",120
"OCHPRI",175
"OCHPRI",146
"OCHPRI",165
"OCHPRI",165
"OCHPRI",180
"OCHPRI",120
"OCHPRI",168
"OCHPRI",190
"OCHPRI",116
"OCHPRI",88
"OCHPRI",116
"OCHPRI",98
"OCHPRI",147
"OCHPRI",147
"OCHPRI",147
"OCHPRI",136
"OCHPRI",136
"OCHPRI",129
"OCHPRI",129
"OCHPRI",155
"OCHPRI",155
"OCHPRI",122
"OCHPRI",122
"OCHPRI",128
"OCHPRI",128
"OCHPRI",170
"OCHPRI",170
"OCHPRI",150
"OCHPRI",150
"OCHPRI",150
"OCHPRI",150
"OCHPRI",178
"OCHPRI",170
"OCHPRI",170
"OCHPRI",164
"OCHPRI",164
"OCHPRI",154
"OCHPRI",168
"PERMAN",26
"PERMAN",11
"PERMAN",21
"PERMAN",29.5
"PERMAN",20
"PERMAN",17
"PERMAN",13.5
"PERMAN",16.5
"PERMAN",18.5
"PERMAN",17.5
"PERMAN",13
"PERMAN",17.5
"PERMAN",11
"PERMAN",16.5
"PERMAN",32.5
"PERMAN",23.5
"PERMAN",29.5
"PERMAN",17
"PERMAN",12
"PERMAN",28
"PERMAN",10.5
"PERMAN",18
"PERMAN",27
"PERMAN",16
"PERMAN",20.5
"PERMAN",13.5
"MICLON",32
"MICLON",18
"OCHPRI",170
"PERMAN",20
"PERMAN",21.5
"PERMAN",17.5
"PERMAN",11.5
"PERMAN",20.5
"MICLON",22.6
"PERMAN",17.9
"PERMAN",15.9
"PERMAN",15
"PERMAN",23.6
"PERMAN",18.3
"PERMAN",16.3
"PERMAN",18
"PERMAN",19.7
"PERMAN",21.7
"PERMAN",13.3
"PERMAN",24.3
"OCHPRI",58
"OCHPRI",53.7
"PERMAN",25.2
"PERMAN",16
"PERMAN",15.6
"PERMAN",15.6
"PERMAN",14.8
"PERMAN",15.5
"PERMAN",24.3
"PERMAN",26.5
"PERMAN",26.2
"PERMAN",15
"PERMAN",19
"PERMAN",15
"PERMAN",14.6
"PERMAN",9.3
"OCHPRI",196
"OCHPRI",74
"OCHPRI",76
"OCHPRI",172
"OCHPRI",186
"OCHPRI",99
"OCHPRI",98
"OCHPRI",163
"OCHPRI",131
"OCHPRI",175
"OCHPRI",95
"PERMAN",16.9
"PERMAN",17.9
"PERMAN",12.8
"PERMAN",19.4
"PERMAN",18
"PERMAN",22.3
"PERMAN",15
"PERMAN",14.8
"PERMAN",15.2
"PERMAN",19.7
"PERMAN",19.8
"PERMAN",22.4
"PERMAN",15
"OCHPRI",209
"PERMAN",21.6
"PERMAN",15.1
"PERMAN",13.4
"PERMAN",20.7
"PERMAN",21.5
"PERMAN",14
"PERMAN",17.4
"OCHPRI",105
"OCHPRI",119
"OCHPRI",202
"OCHPRI",170
"OCHPRI",182
"OCHPRI",190
"OCHPRI",185
"OCHPRI",145
"OCHPRI",158
"OCHPRI",142
"PERMAN",17.4
"PERMAN",17.1
"PERMAN",19
"PERMAN",22.1
"PERMAN",22.9
"PERMAN",16
"PERMAN",24
"PERMAN",20.5
"PERMAN",22
"PERMAN",19.5
"PERMAN",19.5
"PHENIN",42
"PERMAN",18
"PERMAN",22.5
"PERMAN",20.5
"OCHPRI",168
"OCHPRI",170
"OCHPRI",145
"OCHPRI",156
"OCHPRI",150
"OCHPRI",175
"OCHPRI",160
"MICMON",21.5
"PERMAN",22
"PERMAN",19
"PERMAN",22
"PERMAN",24
"OCHPRI",87
"OCHPRI",160
"OCHPRI",158
"OCHPRI",170
"OCHPRI",175
"PERMAN",22
"PERMAN",24.5
"PERMAN",20.5
"PERMAN",24.5
"OCHPRI",175
"OCHPRI",98
"OCHPRI",178
"OCHPRI",152
"OCHPRI",157
"OCHPRI",143
"OCHPRI",170
"OCHPRI",50
"OCHPRI",161
"OCHPRI",190
"OCHPRI",170
"OCHPRI",64
"OCHPRI",129
"PERMAN",20
"PERMAN",16
"PERMAN",20.5
"PERMAN",26
"PERMAN",29
"PERMAN",20.5
"MICMON",32
"PERMAN",18.5
"PERMAN",30
"PERMAN",22
"PERMAN",20
"PERMAN",21
"PERMAN",19.5
"PERMAN",18.5
"PERMAN",19.5
"PERMAN",13
"PERMAN",22
"PERMAN",22
"PERMAN",21.5
"PERMAN",19.5
"PERMAN",17.5
"PERMAN",20
"PERMAN",8
"PERMAN",20
"PERMAN",21
"PERMAN",11.5
"PERMAN",13.5
"PERMAN",22.5
"PERMAN",16
"PERMAN",12.5
"PERMAN",22
"PERMAN",21.5
"PERMAN",12
"PERMAN",16.5
"PERMAN",19.5
"PERMAN",24
"PERMAN",24
"PERMAN",18
"PERMAN",12.5
"PERMAN",19.5
"PERMAN",8.5
"PERMAN",11
"PERMAN",13
"PERMAN",19
"PERMAN",22.5
"PERMAN",26
"OCHPRI",74
"OCHPRI",79
"OCHPRI",183
"OCHPRI",166
"OCHPRI",92
