collector,date,sex,species,id_num,weight,adult,subadult,juvenile,M_testes_abd,M_testes_inguin,M_testes_scrot,F_vagina_imperf,F_vaging_perf,F_vagina_plug,F_nipple_sm,F_nipple_med,F_nipple_lg,F_lact_cond,F_preg_cond,condition,recap_stat,grid,trap_num,habitat
CARRON,1981-06-30,M,OCHPRI,R310O311,181,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,NaN,NaN
CARRON,1981-06-30,F,OCHPRI,O93G78,177,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,NaN,NaN
DEBBIE,1981-06-30,M,OCHPRI,R324R366,185,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YRT,PIKA,NaN,NaN
KAREN,1981-06-30,F,OCHPRI,G112O113,169,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,NaN,NaN
KAREN,1981-06-30,M,OCHPRI,R312Y313,187,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,NaN,NaN
MEANEY,1981-06-30,F,OCHPRI,R306B307,108,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,PIKA,NaN,NaN
MEANEY,1981-06-30,F,OCHPRI,R302W304,165,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,PIKA,NaN,TALU
SHARI,1981-06-30,F,OCHPRI,R308B309,152,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,NaN,NaN
DEBBY,1981-07-01,F,OCHPRI,R302W304,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,NaN,NaN
KAREN,1981-07-01,M,OCHPRI,Y316Y317,175,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,PIKA,5,NaN
KAREN,1981-07-01,F,OCHPRI,Y106,165,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EARS,NNN,PIKA,13,NaN
SHARI,1981-07-01,M,OCHPRI,R312Y313,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,16,NaN
SHARI,1981-07-01,F,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,16,NaN
DEB,1981-07-02,F,OCHPRI,O93G78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,21,NaN
KAREN,1981-07-02,F,OCHPRI,G112O113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,8,NaN
KAREN,1981-07-02,F,OCHPRI,Y370R375,158,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,NaN,4,NaN
KAREN,1981-07-02,M,OCHPRI,R312Y313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,NaN,NaN
KAREN,1981-07-02,F,OCHPRI,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EARS,YYY,NaN,13,NaN
CARRON,1981-07-02,M,OCHPRI,G374B318,120,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,18,NaN
CARRON,1981-07-02,F,OCHPRI,W90G76,134,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y80,PIKA,39,NaN
DEBBY,1981-07-02,M,OCHPRI,R324R323,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,3,NaN
DEBBY,1981-07-02,M,OCHPRI,RY,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,YYY,PIKA,9,NaN
KAREN,1981-07-02,M,OCHPRI,R33,160,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EARS,Y80,PIKA,15,NaN
KAREN,1981-07-02,F,OCHPRI,Y351W352,155,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,19,NaN
MEANEY,1981-07-02,M,OCHPRI,G314G477,159,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,23,NaN
MEANEY,1981-07-02,F,OCHPRI,R306B307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,44,NaN
STEVE,1981-07-02,M,OCHPRI,G321W322,65,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,24,NaN
