collector,date,sex,species,id_num,weight,adult,subadult,juvenile,M_testes_abd,M_testes_inguin,M_testes_scrot,F_vagina_imperf,F_vaging_perf,F_vagina_plug,F_nipple_sm,F_nipple_med,F_nipple_lg,F_lact_cond,F_preg_cond,condition,recap_stat,grid,trap_num,habitat
STEVE,1981-07-02,F,OCHPRI,G372R425,180,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NNN,PIKA,17,NaN
STEVE,1981-07-02,F,OCHPRI,B116G115,141,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YRT,PIKA,37,NaN
CARRON,1981-07-06,F,OCHPRI,B116G115,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,37,NaN
CARRON,1981-07-06,F,OCHPRI,R306B307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,43,NaN
KAREN,1981-07-06,M,OCHPRI,R33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EARS,YYY,NaN,12,NaN
KAREN,1981-07-06,F,OCHPRI,G112O113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,NaN,NaN
CARRON,1981-07-06,F,OCHPRI,GG,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y80,PIKA,27,NaN
CARRON,1981-07-06,F,OCHPRI,WG,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,39,NaN
CARRON,1981-07-06,F,OCHPRI,G325O373,162,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,33,NaN
DEB,1981-07-06,F,OCHPRI,Y106,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EARS,YYY,PIKA,15,NaN
DEB,1981-07-06,F,OCHPRI,Y106,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EARS,YYY,PIKA,15,NaN
DEBBY,1981-07-06,M,OCHPRI,GB,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,17,NaN
DEBBY,1981-07-06,F,OCHPRI,R302W304,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOSE,YYY,PIKA,2,NaN
DEBBY,1981-07-06,F,OCHPRI,Y351W352,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,19,NaN
KAREN,1981-07-06,M,OCHPRI,R324R366,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,3,NaN
KAREN,1981-07-06,F,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,16,NaN
KAREN,1981-07-06,F,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,22,NaN
KAREN,1981-07-06,F,OCHPRI,GR,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,17,NaN
KAREN,1981-07-06,F,OCHPRI,GR,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,17,NaN
KAREN,1981-07-06,M,OCHPRI,R312Y313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,13,NaN
KAREN,1981-07-06,F,OCHPRI,Y370R375,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,4,NaN
CARRON,1981-07-07,F,OCHPRI,O326O327,70,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DEAD,NNN,NaN,34,NaN
CARRON,1981-07-07,U,OCHPRI,R308B309,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,23,NaN
CARRON,1981-07-07,U,OCHPRI,R308B309,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,24,NaN
CARRON,1981-07-07,F,OCHPRI,B116G115,143,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,37,NaN
CARRON,1981-07-07,U,OCHPRI,R306B307,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,44,NaN
CARRON,1981-07-07,M,OCHPRI,G476Y371,168,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,34,NaN
CARRON,1981-07-07,F,OCHPRI,R306B307,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,43,NaN
DEB,1981-07-07,U,OCHPRI,GR,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,18,NaN
DEBBY,1981-07-07,U,OCHPRI,GB,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,18,NaN
DEBBY,1981-07-07,F,OCHPRI,Y351W350,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,19,NaN
DEBBY,1981-07-07,M,OCHPRI,Y316Y317,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,5,NaN
DEBBY,1981-07-07,F,OCHPRI,Y370R375,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,7,NaN
KAREN,1981-07-07,U,OCHPRI,Y106,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,11,NaN
KAREN,1981-07-07,M,OCHPRI,R312Y313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,23,NaN
KAREN,1981-07-07,M,OCHPRI,R33,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EARS,YYY,PIKA,12,NaN
KAREN,1981-07-07,U,OCHPRI,R302W304,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,5,NaN
STEVE,1981-07-07,F,OCHPRI,WG,132,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,38,NaN
DEBBY,1981-07-09,M,OCHPRI,R377G376,179,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,I,NaN
DEBBY,1981-07-09,F,OCHPRI,Y370R375,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,7,NaN
DEBBY,1981-07-09,M,OCHPRI,Y316Y317,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,5,NaN
KAREN,1981-07-09,U,OCHPRI,Y354O353,179,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,M,NaN
KAREN,1981-07-09,F,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,16,NaN
CARRON,1981-07-09,F,OCHPRI,O328O329,78,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,39,NaN
DEB,1981-07-09,F,OCHPRI,G372R425,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,18,NaN
DEB,1981-07-09,F,OCHPRI,Y370R375,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,7,NaN
DEBBY,1981-07-09,M,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,16,NaN
DEBBY,1981-07-09,F,OCHPRI,Y355B356,89,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,10,NaN
DEBBY,1981-07-09,F,OCHPRI,G372R425,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,18,NaN
KAREN,1981-07-09,M,OCHPRI,R324R323,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,B,NaN
KAREN,1981-07-09,F,OCHPRI,R306B309,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,23,NaN
KAREN,1981-07-09,M,OCHPRI,GB318,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,20,NaN
STEVE,1981-07-09,U,OCHPRI,GO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,34,NaN
STEVE,1981-07-09,M,OCHPRI,O330W331,179,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,35,NaN
KAREN,1981-07-10,F,OCHPRI,Y357G359,153,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,QQ,NaN
CARRON,1981-07-14,F,OCHPRI,Y357G359,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,YY,NaN
CARRON,1981-07-14,F,OCHPRI,G325O323,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOSE,YYY,NaN,34,NaN
CARRON,1981-07-14,F,OCHPRI,O328O329,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,39,NaN
CARRON,1981-07-14,F,OCHPRI,B339G115,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YRT,NaN,39,NaN
CARRON,1981-07-14,M,OCHPRI,G476Y371,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,32,NaN
DEBBY,1981-07-14,M,OCHPRI,G321W322,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,23,NaN
CARRON,1981-07-14,M,OCHPRI,O337R338,160,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOSE,NNN,PIKA,31,NaN
CARRON,1981-07-14,F,OCHPRI,O332B333,80,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,30,NaN
CARRON,1981-07-14,F,OCHPRI,O348Y349,147,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,PIKA,29,NaN
CARRON,1981-07-14,F,OCHPRI,O340G341,162,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,PIKA,42,NaN
CARRON,1981-07-14,F,OCHPRI,O328O329,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,YYY,PIKA,39,NaN
CARRON,1981-07-14,F,OCHPRI,Y357G359,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,RR,NaN
CARRON,1981-07-14,F,OCHPRI,R306B307,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,QQ,NaN
CARRON,1981-07-14,F,OCHPRI,Y357G359,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,QQ,NaN
CARRON,1981-07-14,M,OCHPRI,R310O311,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,40,NaN
CARRON,1981-07-14,F,OCHPRI,GG,173,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,14,NaN
CARRON,1981-07-14,F,OCHPRI,R308B309,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,QQ,NaN
CARRON,1981-07-14,F,OCHPRI,Y357G359,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,YY,NaN
CARRON,1981-07-14,F,OCHPRI,Y357G359,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,RR,NaN
CARRON,1981-07-14,F,OCHPRI,Y357G359,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,QQ,NaN
CARRON,1981-07-14,F,OCHPRI,O328O329,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,39,NaN
DEB,1981-07-14,M,OCHPRI,R377G376,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,I,NaN
DEB,1981-07-14,M,OCHPRI,R377G376,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,I,NaN
DEB,1981-07-14,F,OCHPRI,B378W361,154,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,PIKA,4,NaN
DEB,1981-07-14,F,OCHPRI,Y370R375,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,O,NaN
DEB,1981-07-14,F,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,16,NaN
DEB,1981-07-14,F,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,21,NaN
DEB,1981-07-14,F,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,22,NaN
DEB,1981-07-14,F,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,21,NaN
DEB,1981-07-14,F,OCHPRI,O93G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,22,NaN
DEB,1981-07-14,F,OCHPRI,B367Y368,104,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,5,NaN
DEBBY,1981-07-14,F,OCHPRI,Y354O353,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,O,NaN
DEBBY,1981-07-14,F,OCHPRI,Y354O353,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,M,NaN
DEBBY,1981-07-14,F,OCHPRI,Y354O353,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,M,NaN
DEBBY,1981-07-14,M,OCHPRI,Y316Y317,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,5,NaN
DEBBY,1981-07-14,M,OCHPRI,Y316Y317,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,5,NaN
DEBBY,1981-07-14,M,OCHPRI,R324R366,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOSE,YRT,PIKA,7,NaN
DEBBY,1981-07-14,M,OCHPRI,R33,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,10,NaN
DEBBY,1981-07-14,F,OCHPRI,Y106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,11,NaN
DEBBY,1981-07-14,F,OCHPRI,Y106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,11,NaN
DEBBY,1981-07-14,F,OCHPRI,R308B309,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,24,NaN
DEBBY,1981-07-14,F,OCHPRI,G372R425,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,18,NaN
DEBBY,1981-07-14,F,OCHPRI,G372R425,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,Q,NaN
DEBBY,1981-07-14,F,OCHPRI,R302W304,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,PIKA,16,NaN
DEBBY,1981-07-14,F,OCHPRI,B364R363,49,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,PIKA,22,NaN
JIM,1981-07-14,M,PERMAN,401,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,SM,C1,ACRO
CARRON,1981-07-15,F,OCHPRI,O340G341,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,42,NaN
CARRON,1981-07-15,M,OCHPRI,C310O311,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,38,NaN
CARRON,1981-07-15,F,OCHPRI,O328O329,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,39,NaN
CARRON,1981-07-15,F,OCHPRI,Y357G359,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,RR,NaN
CARRON,1981-07-15,F,OCHPRI,O379R384,76,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,PIKA,OO,NaN
