n,delta,alpha,dcrit
29,1,0.1,0.20961
30,0,0.1,0.197
30,1,0.1,0.2063
31,0,0.1,0.19427
31,1,0.1,0.20314
32,0,0.1,0.19166
32,1,0.1,0.20014
33,0,0.1,0.18915
33,1,0.1,0.19726
34,0,0.1,0.18674
34,1,0.1,0.19451
35,0,0.1,0.18442
35,1,0.1,0.19188
36,0,0.1,0.18218
36,1,0.1,0.18935
37,0,0.1,0.18003
37,1,0.1,0.18692
38,0,0.1,0.17796
38,1,0.1,0.18459
39,0,0.1,0.17595
39,1,0.1,0.18234
40,0,0.1,0.17402
40,1,0.1,0.18018
41,0,0.1,0.17215
41,1,0.1,0.1781
42,0,0.1,0.17034
42,1,0.1,0.17608
43,0,0.1,0.16858
43,1,0.1,0.17414
44,0,0.1,0.16688
44,1,0.1,0.17226
45,0,0.1,0.16524
45,1,0.1,0.17044
46,0,0.1,0.16364
46,1,0.1,0.16868
47,0,0.1,0.16208
47,1,0.1,0.16697
48,0,0.1,0.16058
48,1,0.1,0.1532
49,0,0.1,0.15911
49,1,0.1,0.16371
50,0,0.1,0.15769
50,1,0.1,0.16216
3,0,0.5,0.23875
3,1,0.5,0.38345
4,0,0.5,0.23261
4,1,0.5,0.33126
5,0,0.5,0.22665
5,1,0.5,0.2993
6,0,0.5,0.21803
6,1,0.5,0.27516
7,0,0.5,0.20935
7,1,0.5,0.25645
8,0,0.5,0.20148
8,1,0.5,0.24149
9,0,0.5,0.19475
9,1,0.5,0.22919
10,0,0.5,0.18913
10,1,0.5,0.218881
11,0,0.5,0.19381
11,1,0.5,0.20981
12,0,0.5,0.17878
12,1,0.5,0.2019
13,0,0.5,0.1741
13,1,0.5,0.19487
14,0,0.5,0.16976
14,1,0.5,0.18859
15,0,0.5,0.16575
15,1,0.5,0.18293
16,0,0.5,0.16204
16,1,0.5,0.17778
17,0,0.5,0.15859
17,1,0.5,0.17308
18,0,0.5,0.15537
18,1,0.5,0.16875
19,0,0.5,0.15235
19,1,0.5,0.16475
20,0,0.5,0.14948
20,1,0.5,0.16104
21,0,0.5,0.14678
21,1,0.5,0.15758
22,0,0.5,0.14422
22,1,0.5,0.15435
23,0,0.5,0.14179
23,1,0.5,0.15132
24,0,0.5,0.13949
24,1,0.5,0.14848
25,0,0.5,0.1373
25,1,0.5,0.14579
26,0,0.5,0.13522
26,1,0.5,0.14326
27,0,0.5,0.13323
27,1,0.5,0.14086
28,0,0.5,0.13133
28,1,0.5,0.13858
29,0,0.5,0.12951
29,1,0.5,0.13641
30,0,0.5,0.12777
30,1,0.5,0.13435
31,0,0.5,0.1261
31,1,0.5,0.13238
32,0,0.5,0.1245
32,1,0.5,0.13051
33,0,0.5,0.12295
33,1,0.5,0.12871
34,0,0.5,0.12147
34,1,0.5,0.12699
35,0,0.5,0.12004
35,1,0.5,0.12534
36,0,0.5,0.11866
36,1,0.5,0.12375
37,0,0.5,0.11733
37,1,0.5,0.12223
38,0,0.5,0.11604
38,1,0.5,0.12076
39,0,0.5,0.1148
39,1,0.5,0.11935
40,0,0.5,0.1136
40,1,0.5,0.11798
41,0,0.5,0.11243
41,1,0.5,0.11667
42,0,0.5,0.1113
42,1,0.5,0.1154
43,0,0.5,0.11021
43,1,0.5,0.11417
44,0,0.5,0.10915
44,1,0.5,0.11298
45,0,0.5,0.10812
45,1,0.5,0.11183
46,0,0.5,0.10712
46,1,0.5,0.11072
47,0,0.5,0.10615
47,1,0.5,0.10964
48,0,0.5,0.1052
48,1,0.5,0.10859
49,0,0.5,0.10428
49,1,0.5,0.10757
50,0,0.5,0.10339
50,1,0.5,0.10659
